id,MQ135,MQ3,MQ4,MQ5,MQ6,MQ8,Temp,Humidity
1,304,26,284,988,332,33,33.7,43.4
1,307,31,288,978,341,32,34.3,41.2
1,302,29,290,979,330,35,34.3,42.4
1,317,327,361,893,215,19,34.3,42.2
1,326,241,357,905,301,22,34.4,48
1,327,304,350,893,297,17,34.4,49.7
1,334,303,363,894,304,18,34.5,51.4
1,323,292,355,907,305,25,34.5,53
1,336,290,357,909,307,26,34.6,54.5
1,335,283,355,911,310,26,34.6,56.1
1,347,275,374,907,307,27,34.7,57.6
1,342,281,357,907,315,27,34.7,58.8
1,354,272,349,906,310,23,34.7,59.8
1,345,272,356,912,319,27,34.8,60.8
1,353,269,353,910,319,21,34.8,61.7
1,357,261,347,910,314,19,34.9,62.4
1,352,260,349,906,318,24,35,62.7
1,352,260,353,898,323,40,35,63
1,364,258,350,905,320,22,35,63.5
1,366,247,342,918,319,25,35.1,64.1
1,358,247,346,914,325,26,35.2,65
1,354,250,341,911,321,25,35.2,65.70001
1,369,240,339,912,322,26,35.2,66.30001
1,364,240,341,913,326,27,35.3,66.70001
1,369,231,335,909,300,25,35.3,67.1
1,371,210,337,912,325,23,35.3,67.4
1,373,231,336,906,322,22,35.4,67.8
1,372,255,328,912,324,25,35.4,68.20001
1,368,227,339,912,330,45,35.5,68.7
1,368,231,374,910,324,23,35.6,69.20001
1,369,230,336,891,330,27,35.6,69.6
1,374,230,208,910,336,27,35.7,70
1,368,223,336,913,330,28,35.7,70.2
1,371,226,337,913,327,27,35.7,70.5
1,378,215,330,911,328,31,35.8,70.70001
1,378,225,334,903,326,22,35.8,71
1,379,222,330,931,330,22,35.9,71.30001
1,380,219,327,907,327,18,36,71.4
1,378,215,329,902,327,26,36,71.4
1,377,209,336,912,331,26,36,71.4
1,376,221,325,905,328,10,36.1,71.4
1,291,322,570,815,277,11,36.2,71
1,293,363,569,826,289,16,36.3,49.9
1,300,353,560,820,285,14,36.4,50.1
1,287,352,560,829,289,16,36.4,50.6
1,301,350,555,829,292,16,36.5,51.3
1,304,336,541,827,284,13,36.5,52.3
1,303,342,545,832,291,16,36.6,53.4
1,301,339,534,835,294,16,36.7,54.4
1,295,337,529,837,295,16,36.7,55
1,301,333,523,832,295,16,36.7,55.7
1,306,323,510,830,291,14,36.8,56.3
1,321,331,509,842,299,16,36.9,56.8
1,311,322,501,835,306,16,36.9,57.4
1,311,320,497,833,294,15,37,58
1,311,320,500,847,300,16,37.1,58.6
1,316,311,494,837,295,16,37.1,59.3
1,309,321,497,849,304,16,37.2,59.9
1,318,310,491,839,298,16,37.2,60.7
1,308,321,496,848,304,17,37.3,61.3
1,320,325,496,847,303,16,37.3,61.9
